"Name","State","Total","Preratings","Avg_Opponent_Rating"
" GARY HUA                        ","   ON ","6.0  ",1793,1604.28571428571
" AKSHESH ARURI                 ","   MI ","6.0  ",1552,1468.28571428571
" AITYA AJAJ                    ","   MI ","6.0  ",1383,1562.57142857143
" PATRICK H SCHIING             ","   MI ","5.5  ",1715,1572.57142857143
" HANSHI ZUO                      ","   MI ","5.5  ",1654,1499.85714285714
" HANSEN SONG                     ","   OH ","5.0  ",1685,1517.71428571429
" GARY EE SATHE               ","   MI ","5.0  ",1648,1371.14285714286
" EZEKIE HOUGHTON                ","   MI ","5.0  ",1640,1467.42857142857
" STEFANO EE                     ","   ON ","5.0  ",1410,1522.14285714286
" ANVIT RAO                       ","   MI ","5.0  ",1364,1553.14285714286
" CAMERON IIAM MC EMAN        ","   MI ","4.5  ",1711,1466.57142857143
" KENNETH J TACK                  ","   MI ","4.5  ",1662,1505.16666666667
" TORRANCE HENRY JR               ","   MI ","4.5  ",1665,1496.85714285714
" RAEY SHA                    ","   MI ","4.5  ",1609,1514
" ZACHARY JAMES HOUGHTON          ","   MI ","4.5  ",1219,1482.85714285714
" MIKE NIKITIN                    ","   MI ","4.0  ",1603,1384.8
" RONA GRZEGORCZYK              ","   MI ","4.0  ",1628,1497.57142857143
" AVI SUNEEN                   ","   MI ","4.0  ",1599,1479
" IPANKAR ROY                    ","   MI ","4.0  ",1563,1425.28571428571
" JASON ZHENG                     ","   MI ","4.0  ",1594,1409.85714285714
" INH ANG UI                   ","   ON ","4.0  ",1562,1469.42857142857
" EUGENE  MCCURE                ","   MI ","4.0  ",1554,1299.33333333333
" AAN UI                        ","   ON ","4.0  ",1362,1212.85714285714
" MICHAE R ARICH               ","   MI ","4.0  ",1228,1356
" OREN SCHIEERT                ","   MI ","3.5  ",1744,1362.28571428571
" MAX ZHU                         ","   ON ","3.5  ",1578,1505.85714285714
" GAURAV GIANI                  ","   MI ","3.5  ",1551,1220.66666666667
" SOFIA AINA STANESCU-EU      ","   MI ","3.5  ",1506,1521.14285714286
" CHIEOZIE OKORIE                ","   MI ","3.5  ",1601,1312.5
" GEORGE AVERY JONES              ","   ON ","3.5  ",1521,1143.14285714286
" RISHI SHETTY                    ","   MI ","3.5  ",1493,1258.85714285714
" JOSHUA PHIIP MATHES           ","   ON ","3.5  ",1440,1377.71428571429
" JAE GE                         ","   MI ","3.5  ",1448,1275.85714285714
" MICHAE JEFFERY THOMAS          ","   MI ","3.5  ",1398,1374.28571428571
" JOSHUA AVI EE                ","   MI ","3.5  ",1437,1148.71428571429
" SIHARTH JHA                   ","   MI ","3.5  ",1354,1387.16666666667
" AMIYATOSH PNANANAM            ","   MI ","3.5  ",979,1383.8
" RIAN IU                       ","   MI ","3.0  ",1422,1538.16666666667
" JOE R HENON                   ","   MI ","3.0  ",1435,1428.57142857143
" FOREST ZHANG                    ","   MI ","3.0  ",1347,1389.57142857143
" KYE IIAM MURPHY             ","   MI ","3.0  ",1402,1247.5
" JARE GE                        ","   MI ","3.0  ",1331,1148.85714285714
" ROERT GEN VASEY               ","   MI ","3.0  ",1282,1105.57142857143
" JUSTIN  SCHIING              ","   MI ","3.0  ",1198,1326
" EREK YAN                       ","   MI ","3.0  ",1241,1151
" JACO AEXANER AVAEY        ","   MI ","3.0  ",376,1356.71428571429
" ERIC RIGHT                     ","   MI ","2.5  ",1361,1391
" ANIE KHAIN                    ","   MI ","2.5  ",1381,1354.8
" MICHAE J MARTIN                ","   MI ","2.5  ",1290,1284.8
" SHIVAM JHA                      ","   MI ","2.5  ",1055,1295
" TEJAS AYYAGARI                  ","   MI ","2.5  ",1010,1355.14285714286
" ETHAN GUO                       ","   MI ","2.5  ",934,1493.57142857143
" JOSE C YARRA                   ","   MI ","2.0  ",1392,1344.33333333333
" ARRY HOGE                     ","   MI ","2.0  ",1269,1205.16666666667
" AEX KONG                       ","   MI ","2.0  ",1185,1405
" MARISA RICCI                    ","   MI ","2.0  ",1152,1413.4
" MICHAE U                      ","   MI ","2.0  ",1091,1362
" VIRAJ MOHIE                    ","   MI ","2.0  ",916,1390
" SEAN M MC CORMICK               ","   MI ","2.0  ",852,1318
" JUIA SHEN                      ","   MI ","1.5  ",966,1329.2
" JEZZE FARKAS                   ","   ON ","1.5  ",954,1326.28571428571
" ASHIN AAJI                   ","   MI ","1.0  ",1529,1185
" THOMAS JOSEPH HOSMER            ","   MI ","1.0  ",1174,1349.2
" EN I                          ","   MI ","1.0  ",1162,1262
