"flavor","flavor_id"
"sweet","F1"
"burnt caramel","F2"
"None","F3"
"acidic","F4"
"milky","F5"
"smooth","F6"
"fruity","F7"
"nutty","F8"
"salty","F9"
"mild","F10"
"tangy","F11"
"strong","F12"
"buttery","F13"
"citrusy","F14"
"herbaceous","F15"
"sharp","F16"
"subtle","F17"
"creamy","F18"
"pronounced","F19"
"spicy","F20"
"mellow","F21"
"oceanic","F22"
"earthy","F23"
"butterscotch","F24"
"full-flavored","F25"
"smokey","F26"
"garlicky","F27"
"piquant","F28"
"caramel","F29"
"bitter","F30"
"floral","F31"
"grassy","F32"
"savory","F33"
"mushroomy","F34"
"lemony","F35"
"smokey ","F36"
"woody","F37"
"sour","F38"
"tart","F39"
"pungent","F40"
"meaty","F41"
"licorice","F42"
"yeasty","F43"
"umami","F44"
"vegetal","F45"
"crunchy","F46"
"rustic","F47"
